X.1,X,Y,Class,Ultra_Blue,Blue,Green,Red,NIR,SWNIR_1,SWNIR_2,Cirrus
209,785067.825,1448899.088,4,9862,9518,9967,8646,7190,6193,5895,5230
106,772760.5804,1440743.53,2,11118,10814,9801,9845,12884,13129,12199,5497
29,799664.6535,1424317.97,1,9294,8727,8802,9243,15336,14888,11695,5057
18,765745.0474,1422686.451,1,9592,9005,8981,9733,14513,15999,12650,5235
64,776628.2408,1429210.928,2,10597,10526,9696,10342,10784,10802,9850,5132
223,784200.0844,1436660.147,4,8820,7996,7256,6435,6046,5421,5342,5119
90,790752.0794,1428347.183,2,10673,10298,10317,10827,11608,11514,10658,5070
69,790656.1077,1431597.425,2,11063,11029,12619,14218,17507,18669,14445,5169
42,791139.1654,1455107.298,1,9526,8958,8957,9781,14924,16156,12613,5244
57,795137.9872,1430384.982,1,9299,8752,8827,9304,15421,15630,11880,5087
116,778893.1735,1437645.243,2,12755,12542,13364,13658,15132,15338,13193,5305
20,776986.5353,1415699.709,1,9296,8775,8681,9236,15055,16108,12270,5130
142,788564.653,1431467.675,3,9021,8291,8346,7108,21844,10876,7434,5073
2,763393.7402,1440594.774,1,10013,9481,9503,10058,15429,16174,12591,5503
215,789786.1855,1431240.071,4,9055,8268,7585,6824,6408,5614,5465,5163
78,782971.9717,1439780.614,2,10756,10364,10495,10802,11825,13116,12353,5164
163,760171.4637,1450099.661,3,9503,8723,8251,7625,14417,10230,7994,5577
73,791353.5022,1440573.98,2,10256,9784,9887,10202,12449,13142,11894,5171
125,782159.811,1452471.875,2,10213,9773,10045,10637,15460,16112,12968,5305
211,784170.5939,1436376.181,4,8801,8010,7246,6451,6080,5508,5414,5132
15,759676.4355,1423025.551,1,9388,8796,8505,8885,13002,14633,11630,5143
118,787284.3012,1450761.379,2,11694,11833,12387,11749,11466,10585,9820,5271
137,776795.8264,1414843.312,3,8744,7985,7652,6881,6090,5457,5305,5102
85,785300.8856,1425416.846,2,10459,10077,10209,10395,13212,12490,10931,5106
166,758075.5144,1442155.106,3,9200,8514,8149,7559,14703,10354,7915,5282
60,782280.9753,1436757.505,1,10157,9805,11040,13639,17073,19065,17386,5179
203,781555.176,1450783.357,4,9322,8562,7959,7184,7164,6238,5993,5421
87,789203.7356,1426248.601,2,10237,10048,10438,11322,17162,19007,14825,5082
202,769586.8266,1454478.674,4,9821,9099,8589,8107,8335,7224,6685,5850
115,778035.8261,1438160.292,2,11031,10475,9242,8883,11300,13005,11902,5275
188,796307.8494,1441038.193,4,8772,7954,7325,6466,6071,5291,5210,5085
198,780813.0692,1443671.693,4,9502,8818,8615,7734,6503,6104,5834,5303
101,774225.7487,1443510.715,2,10428,9980,10164,10883,13453,13052,11774,5372
84,776573.8569,1447720.675,2,10370,9995,10016,10655,14835,15097,12236,5416
174,808110.9312,1441381.658,1,9731,9368,9997,9502,9506,7741,6480,5053
94,778723.6235,1431063.183,2,10626,10202,9864,9886,10894,11102,10637,5134
207,783939.5901,1450620.519,4,9280,8535,7918,7297,8743,7131,6447,5339
68,786983.5898,1432921.835,2,10402,10117,10107,10320,11794,11272,10611,5092
17,763281.7732,1420946.163,1,9325,8758,8658,9151,14625,15651,11725,5111
