Class,0,1,2,3,4
4,-1.1940147366,2.00681629026,-0.93113252981,-0.399643623205,-0.809171448606
2,2.04343099567,1.21189505465,0.254702065531,0.537603528788,0.43390567421
1,0.162870981983,-1.60485393597,-0.11013058558,-0.193689377016,0.123088601652
1,0.802196553047,-1.14066761954,0.294027083959,-0.418506077561,0.455870066756
2,0.952023547228,1.07656105233,-1.11827292617,0.102606760777,-0.0978570428083
4,-3.83510611858,0.831333003726,-0.53175457142,-0.390625186042,0.320734654156
2,1.42190544184,0.751359456055,-1.3006380921,-0.0911788451818,-0.347123783983
2,5.01640130317,-0.365981559708,-0.857828918231,-0.628877734958,-1.14933430667
1,0.80463256163,-1.25225533787,0.386601666654,-0.424682819607,0.397271545263
1,0.30974475966,-1.64921390611,0.0102239911925,-0.242226583897,0.197281568193
2,5.7855234231,1.98116587419,-1.32156807271,0.523508814959,-1.13673673518
1,0.342798583765,-1.61689758456,0.152461831869,-0.301637201149,0.435872256092
3,-1.19306581198,-2.19588588292,0.733866094315,1.52654028316,-1.44121596402
1,1.58274540852,-0.473508976806,1.04434688806,-0.230093261466,0.221162507046
4,-3.36505999528,1.04565776946,-0.492656488033,-0.33118603138,0.187261352265
2,1.96868378774,0.64400962698,-0.962952671879,-0.195544255158,0.023860992194
3,-1.07440876213,0.155609214671,1.51436725431,0.414811660176,-0.249065607104
2,1.20917164489,0.105573747267,-0.589177768402,-0.25380443004,0.0682777646222
2,2.04001275033,-0.561793744034,0.202418833359,-0.204638695038,-0.000974774405102
4,-3.81165106222,0.826872121975,-0.482071358072,-0.406084587536,0.337824222815
1,-0.118507457241,-1.03977996668,-0.0218500985147,-0.34745167131,0.61139859302
2,3.15976117407,2.46950385175,-1.42076392412,0.267484392743,-1.23912330945
3,-3.64758423181,0.816618955194,-0.646500547459,-0.615715962063,0.0622788689696
2,1.38541401498,0.248873030081,-0.887184206902,0.0475472022117,-0.373613579322
3,-1.42697394458,-0.57415478705,0.664557956555,0.416934826844,-0.349921546937
1,3.95607118172,-1.55152328515,-0.270593164096,-1.27066911312,-0.0414988112594
4,-2.64987550179,1.48531850434,0.29525424219,-0.327604397332,0.131494469054
2,2.98425954718,-1.48520030628,-0.425978355496,-0.188534886341,0.0868163760387
4,-1.38257980877,2.29102877001,1.55971811665,-0.377990365442,-0.0209585100647
2,1.22511503802,0.926688640312,-0.434984901958,0.647959084537,0.882472586311
4,-3.88335590129,0.773280017918,-0.642560348366,-0.418652685303,0.231906448594
