X.1,X,Y,Class,Ultra_Blue,Blue,Green,Red,NIR,SWNIR_1,SWNIR_2,Cirrus
220,782773.5762,1424237.325,4,10164,9162,7993,7222,6991,6074,5784,5084
126,763864.4403,1413927.826,3,10734,9740,9454,7944,27353,12598,7990,5129
26,803247.5978,1427081.956,1,11245,10707,11226,12520,18335,21297,15800,5103
55,765172.4161,1429809.152,1,11159,10537,10897,12978,16625,22624,18110,5146
72,791775.7778,1435295.536,2,12377,12028,12493,13264,16918,16771,14162,5112
154,803340.1402,1432829.564,3,10188,9264,9214,7867,22912,12782,8331,5109
219,782694.672,1424395.133,4,10193,9183,7999,7223,7032,6062,5743,5100
92,776445.8946,1426862.82,2,12421,12030,12351,12956,16113,17555,16032,5111
47,804428.05,1442829.316,1,11039,10513,11407,14364,18590,23805,17708,5097
121,790040.2892,1418367.723,2,13996,13340,11062,10272,15916,16397,14342,5114
104,773768.2835,1440932.275,2,13972,13358,11311,10490,17645,21131,19331,5124
204,783264.9754,1447980.216,4,11023,10404,10040,8918,9137,7525,6874,5155
93,780828.6033,1429540.431,2,12646,12324,12497,13086,14920,15462,14113,5101
195,771881.6248,1447672.98,4,10712,9821,9066,8245,8620,7217,6506,5134
8,759650.843,1451554.745,1,11484,11066,12036,14196,20621,24218,19607,5220
96,782588.0848,1425839.122,2,13665,13599,13792,14349,16189,15759,13864,5096
81,795601.8505,1448027.784,2,13469,13233,13925,15542,19308,20256,15148,5143
132,780462.544,1413420.549,3,10189,9217,8820,7547,20971,11632,7767,5092
149,795727.4043,1432514.456,3,10468,9596,9240,7972,19920,11574,7864,5108
181,790560.3404,1443809.426,1,12410,12433,14864,18679,15711,11197,8951,5161
21,776141.9841,1413268.426,1,10724,10008,10121,11782,15951,20549,16782,5100
102,772091.9774,1440007.747,2,12595,12050,11001,10056,17356,15025,13868,5118
175,806096.1463,1442011.875,1,11081,10596,11440,14036,18411,23606,18199,5088
25,769657.4947,1417580.755,1,11005,10346,10435,12493,16377,21993,18586,5107
169,773582.6742,1444427.707,3,10532,9790,9623,8988,17512,14867,10732,5147
24,775396.6037,1412068.779,1,11073,10509,11014,13622,17427,23452,20015,5122
148,788207.7687,1428650.795,3,10378,9484,9036,8347,13870,13596,10244,5099
162,809638.7302,1421825.831,3,10566,9718,10004,9291,23202,16328,11307,5100
150,795701.1453,1433326.099,3,10276,9426,8933,8481,15503,13182,9783,5111
11,767738.0602,1451260.432,1,11012,10396,10679,12585,17048,22758,18118,5179
95,784936.193,1428206.424,2,12923,12576,13077,13653,15577,16089,14679,5085
164,756538.1667,1453145.71,3,11524,11040,11776,11417,8932,7300,6641,5194
155,804791.5492,1432447.615,3,10501,9736,9593,9091,16945,13362,9198,5111
138,779290.4357,1415621.535,3,10103,9200,8772,7894,17922,12956,8970,5099
227,783376.5989,1445573.167,4,10739,9968,9264,8470,8353,7184,6622,5130
140,778256.7842,1415559.468,3,10285,9389,8754,8272,12737,13039,10126,5105
218,785466.1814,1424917.874,4,10355,9423,8764,7869,6849,5923,5647,5077
66,780850.9967,1427406.66,2,12775,12454,12600,13083,15768,15988,14459,5096
49,787153.1398,1455548.768,1,10991,10389,10631,12513,16772,20395,15882,5151
206,785021.2999,1451318.396,4,10962,10214,10678,8940,9340,7065,6493,5152
194,769809.5297,1454889.588,4,10361,9430,8587,7853,7532,6486,6010,5226
119,788359.1845,1450831.758,2,13368,12886,13339,13518,14364,14117,13437,5157
134,780768.1038,1414680.984,3,10524,9678,9184,8869,14347,15006,11172,5082
185,783038.2748,1448183.349,4,10530,9767,9406,8228,12062,9485,7336,5156
173,799727.1343,1448170.815,3,10903,10271,10553,10535,16879,16953,11854,5120
16,763748.8356,1421880.288,1,11539,10964,11462,13267,17836,24247,18771,5131
190,769952.4328,1411304.139,4,10556,9615,8573,8115,8676,7450,6675,5103
76,786260.6028,1439652.652,2,13578,13350,13929,14979,17273,17869,16336,5145
129,778743.7701,1412298.572,3,10320,9422,8605,8213,11845,12874,10176,5120
61,795304.3382,1449486.554,1,11309,10787,11670,14159,18849,22634,17308,5169
34,810122.3722,1430751.275,1,10879,10288,11114,13474,17470,21252,16670,5111
74,793592.8424,1439319.95,2,12912,12651,13202,14052,17874,17820,15664,5112
