,X,Y,Class,Ultra_Blue,Blue,Green,Red,NIR,SWNIR_1,SWNIR_2,Cirrus
27,800278.8725,1421093.32,1,10989,10446,10876,13310,17998,21695,16855,5090
28,798576.9739,1421054.931,1,10864,10241,10807,13265,17405,21051,16992,5100
29,799664.6535,1424317.97,1,10909,10295,10866,13438,17576,21681,17731,5146
30,798205.8833,1423294.272,1,10887,10277,10743,12350,18145,20315,15475,5126
31,798359.438,1422692.849,1,10981,10392,10524,11484,17056,19320,14576,5100
32,800969.8689,1422846.404,1,11399,10883,11865,14533,18516,22095,18293,5082
33,794891.6598,1425021.763,1,11004,10385,11153,13351,18979,22116,17428,5116
34,810122.3722,1430751.275,1,10879,10288,11114,13474,17470,21252,16670,5111
36,809751.2816,1428179.232,1,10830,10229,10753,12344,18302,19862,14907,5147
37,804831.1312,1436669.531,1,11075,10513,11350,13445,18873,22602,18029,5128
39,780275.1663,1442822.918,1,11313,10777,11665,13605,19895,22609,17695,5160
40,779046.7283,1447122.451,1,11329,10838,11650,14259,18511,23620,18903,5159
41,775866.8652,1446943.304,1,11447,10842,11577,15167,18127,25324,17978,5156
42,791139.1654,1455107.298,1,11263,10680,11070,12468,17041,20780,16077,5192
43,794306.2323,1455286.446,1,10833,10198,10126,10434,16952,18012,13415,5149
45,797019.033,1427646.589,1,11008,10387,10785,13234,16785,22395,17780,5123
46,795205.1674,1452656.82,1,12106,11804,13135,16589,21155,26469,21617,5142
47,804428.05,1442829.316,1,11039,10513,11407,14364,18590,23805,17708,5097
48,780319.9531,1455395.214,1,11195,10578,11228,12663,18669,21217,16853,5196
49,787153.1398,1455548.768,1,10991,10389,10631,12513,16772,20395,15882,5151
50,786660.485,1453888.457,1,11518,11022,12079,13731,19325,21164,15399,5147
51,786378.9679,1453299.831,1,11710,11194,12044,13801,18131,21086,16052,5176
52,764730.9462,1432982.617,1,11382,10837,11378,13105,17548,22561,18441,5152
53,766656.7788,1433712.002,1,11307,10642,11080,13533,17864,24496,17988,5143
54,766272.8919,1431997.307,1,10802,10017,10007,11212,15623,17393,13101,5143
55,765172.4162,1429809.152,1,11159,10537,10897,12978,16625,22624,18110,5146
57,795137.9872,1430384.982,1,11249,10677,11590,13762,19488,23312,17758,5108
58,794133.4831,1430701.689,1,10802,10169,10570,12941,16595,22241,17024,5111
60,782280.9753,1436757.505,1,11291,10685,11664,14607,18209,21298,18446,5128
62,792425.1865,1449153.852,1,11521,10997,11708,13838,18355,22408,17944,5141
64,776628.2408,1429210.928,2,12305,11972,12258,13055,15958,16003,14767,5105
65,782604.0801,1429965.906,2,12934,12713,12887,13716,15526,16184,15112,5086
66,780850.9967,1427406.66,2,12775,12454,12600,13083,15768,15988,14459,5096
67,785339.2742,1427086.754,2,12795,12494,12927,13454,15845,15865,14183,5092
68,786983.5898,1432921.835,2,12257,11785,11789,12084,15058,14098,13041,5100
70,790444.9699,1430720.883,2,12636,12375,12658,13429,15064,15452,14308,5102
72,791775.7778,1435295.536,2,12377,12028,12493,13264,16918,16771,14162,5112
73,791353.5022,1440573.98,2,12406,12041,12537,13386,16562,17604,15540,5115
74,793592.8424,1439319.95,2,12912,12651,13202,14052,17874,17820,15664,5112
75,793503.2688,1438321.844,2,12495,12165,12303,12924,16259,16726,14752,5109
77,789485.2527,1440612.369,2,12599,12344,12812,13610,16416,16308,14594,5155
78,782971.9717,1439780.614,2,12750,12532,12739,13571,15785,16663,15265,5124
79,784098.04,1442058.343,2,12682,12481,12850,13999,15786,16559,14970,5137
80,781692.3488,1441776.826,2,12394,12123,12202,13053,16267,15594,13685,5149
81,795601.8505,1448027.784,2,13469,13233,13925,15542,19308,20256,15148,5143
83,778646.8461,1453619.737,2,16272,17008,15634,15833,21428,26500,23561,5130
84,776573.8569,1447720.675,2,12364,12184,13458,15207,19032,20797,17519,5140
85,785300.8856,1425416.846,2,12425,12257,12438,12602,17355,15615,13382,5092
87,789203.7356,1426248.601,2,13300,13497,15500,17910,23719,27882,21407,5089
88,785876.7159,1428014.481,2,12946,12818,13197,13986,16152,17201,15942,5109
89,789472.4565,1428398.368,2,12384,12327,14037,16382,19450,23517,17998,5080
90,790752.0794,1428347.183,2,13204,13099,14057,15554,18273,18937,16051,5076
91,774424.0903,1428462.349,2,12760,12542,12331,12689,17214,16764,14340,5114
92,776445.8946,1426862.82,2,12421,12030,12351,12956,16113,17555,16032,5111
93,780828.6033,1429540.431,2,12646,12324,12497,13086,14920,15462,14113,5101
94,778723.6235,1431063.183,2,12858,12557,12624,12983,14595,14603,13670,5081
95,784936.193,1428206.424,2,12923,12576,13077,13653,15577,16089,14679,5085
96,782588.0849,1425839.122,2,13665,13599,13792,14349,16189,15759,13864,5096
98,778007.0346,1420835.796,2,12839,12405,13266,13201,16915,18629,17512,5092
99,795640.2392,1435289.137,2,13723,13572,14615,15510,18623,16844,15201,5100
100,771768.8726,1444425.646,2,11895,11552,11482,12374,15390,15704,13866,5127
101,774225.7487,1443510.715,2,12175,11798,12623,13845,16910,16770,14948,5164
102,772091.9774,1440007.747,2,12595,12050,11001,10056,17356,15025,13868,5118
103,771263.4215,1440666.753,2,14166,13134,11409,10107,17081,18632,18194,5122
104,773768.2835,1440932.275,2,13972,13358,11311,10490,17645,21131,19331,5124
106,772760.5804,1440743.53,2,13095,12964,10981,10505,17555,17804,17443,5122
107,774283.3317,1442335.861,2,13378,13379,11397,10933,16811,17705,15234,5146
109,776002.0253,1432857.054,2,13927,13830,10795,9688,16688,20732,18231,5110
113,781842.7045,1433403.293,2,12325,11956,10707,10007,18220,15744,12890,5106
114,780374.3371,1434209.456,2,13403,13135,11433,11174,16162,16932,16499,5102
115,778035.8261,1438160.292,2,13311,12880,10886,10473,16325,19157,17699,5121
116,778893.1735,1437645.243,2,15750,16418,17667,19295,21139,21037,16149,5114
117,796440.0036,1439827,2,13261,13218,14605,16503,19038,19691,15295,5122
118,787284.3012,1450761.379,2,13781,13662,14641,15110,15093,15441,13347,5153
119,788359.1845,1450831.758,2,13368,12886,13339,13518,14364,14117,13437,5157
120,784245.1966,1433172.961,2,13925,14217,16656,17914,19299,18366,15201,5090
122,791804.5693,1418027.024,2,12137,11608,10031,9198,16916,15238,12828,5125
123,782844.0094,1420004.041,2,16382,16826,12854,11736,21125,23641,21515,5101
124,781158.3061,1452120.178,2,13205,12450,9757,9388,15523,17295,15953,5131
126,763864.4403,1413927.826,3,10734,9740,9454,7944,27353,12598,7990,5129
127,763270.031,1413834.726,3,10848,9899,9868,8355,27823,13447,8352,5115
128,778882.2269,1413506.488,1,10363,9488,9063,8260,17536,13546,9550,5093
129,778743.7701,1412298.572,3,10320,9422,8605,8213,11845,12874,10176,5120
130,779211.6585,1412494.321,3,10345,9464,8791,8278,13469,13507,10300,5101
131,780629.647,1412656.65,3,10396,9546,9092,8552,14274,14585,10851,5101
132,780462.544,1413420.549,3,10189,9217,8820,7547,20971,11632,7767,5092
133,781250.3153,1412494.321,3,10304,9429,9015,8253,15983,13589,9739,5108
134,780768.1038,1414680.984,3,10524,9678,9184,8869,14347,15006,11172,5082
136,777929.7397,1412207.859,3,10242,9358,8950,8110,16469,12932,8930,5104
138,779290.4357,1415621.535,3,10103,9200,8772,7894,17922,12956,8970,5099
139,779137.6558,1415664.504,3,10577,9795,9400,9278,14860,16376,12236,5098
140,778256.7842,1415559.468,3,10285,9389,8754,8272,12737,13039,10126,5105
141,779190.1739,1415210.939,3,10300,9445,8853,8439,13969,13952,10383,5090
142,788564.653,1431467.675,3,10397,9575,9498,8231,22298,13469,8805,5089
144,787428.3525,1430856.555,3,10167,9307,8878,7714,23722,11323,7846,5082
146,786505.7051,1429553.152,3,10341,9356,9048,7745,22672,11476,7810,5132
147,788226.8662,1429137.781,3,10268,9360,8929,8106,14029,12758,9574,5082
149,795727.4043,1432514.456,3,10468,9596,9240,7972,19920,11574,7864,5108
150,795701.1453,1433326.099,3,10276,9426,8933,8481,15503,13182,9783,5111
151,799864.3975,1434233.23,3,10336,9414,9518,7765,27946,12506,7990,5112
152,799157.7905,1433593.464,3,10239,9276,9369,7646,27143,12083,7800,5102
153,801621.3663,1435245.397,3,10187,9269,9569,7645,30327,12826,8068,5117
155,804791.5492,1432447.615,3,10501,9736,9593,9091,16945,13362,9198,5111
157,804361.8558,1431702.813,3,10881,10155,10722,9075,20016,10909,7971,5106
158,769970.8619,1456280.085,3,10416,9608,9985,8268,24680,15226,9573,5201
159,769421.8091,1453997.936,3,10095,9195,8750,7794,17921,11586,8120,5177
160,769109.0877,1456511.642,3,10300,9449,9494,8058,23770,14174,9315,5203
161,807805.3714,1424346.699,3,10319,9498,9427,9065,19333,14833,10234,5120
163,760171.4637,1450099.661,3,10276,9411,9219,8404,18017,12848,9184,5189
165,758934.9014,1440550.917,1,10851,10062,10140,9551,19599,17099,11772,5163
166,758075.5144,1442155.106,3,10423,9570,9390,8787,17926,14049,9859,5172
167,756490.423,1444838.303,1,11635,11018,11111,11146,19469,16775,12674,5164
168,763699.7245,1447311.428,3,10710,9961,9625,8811,7901,7053,6500,5171
169,773582.6742,1444427.707,3,10532,9790,9623,8988,17512,14867,10732,5147
170,764110.3204,1425244.281,3,11079,10277,9975,9821,15772,16162,11927,5128
171,761971.4019,1425301.574,1,11594,11081,11736,13930,19496,26643,21333,5110
173,799727.1343,1448170.815,3,10903,10271,10553,10535,16879,16953,11854,5120
174,808110.9312,1441381.658,1,11688,11312,12916,15048,18726,20949,15222,5106
175,806096.1463,1442011.875,1,11081,10596,11440,14036,18411,23606,18199,5088
176,811598.6099,1430188.143,3,10431,9733,9614,9925,16329,17317,12727,5105
177,758407.3333,1427567.013,3,10853,9959,9682,9397,18090,14687,10221,5140
179,792116.7856,1450868.335,3,10240,9417,9218,8285,19363,11588,8233,5122
180,791066.4238,1451973.602,3,10660,9844,9888,9310,19445,15202,10730,5139
182,788641.0429,1445461.359,1,13191,12899,14087,16072,18730,20724,16619,5130
184,786435.2831,1448774.773,2,12356,11943,13623,16408,21040,24062,16502,5141
