X,Y,Class,2016-01-_1,2016-01-_2,2016-01-_3,2016-01-_4,2016-01-_5,2016-01-_6,2016-01-_7,2016-01-_8
795601.850513323,1448027.78422072,2,11353.00000,10986.00000,11096.00000,11966.00000,14989.00000,16662.00000,12720.00000,5112.00000
798020.337937412,1446159.53467618,2,11156.00000,10802.00000,10880.00000,11286.00000,14771.00000,13340.00000,11404.00000,5126.00000
778646.846085184,1453619.73662456,2,11969.00000,12063.00000,11259.00000,12145.00000,15357.00000,17682.00000,16225.00000,5185.00000
776573.856864536,1447720.67470655,2,10742.00000,10197.00000,10106.00000,10439.00000,13757.00000,14859.00000,12462.00000,5220.00000
785300.885558869,1425416.84623995,2,11465.00000,10999.00000,10879.00000,10910.00000,13384.00000,12554.00000,10784.00000,5229.00000
788103.259875671,1423497.41177638,2,11069.00000,10655.00000,10797.00000,11481.00000,14324.00000,14809.00000,13328.00000,5177.00000
789203.73563478,1426248.60117416,2,11004.00000,10581.00000,11027.00000,11824.00000,16669.00000,17959.00000,13636.00000,5179.00000
785876.715897938,1428014.48088063,2,11632.00000,11172.00000,10834.00000,10995.00000,12063.00000,12113.00000,11238.00000,5230.00000
789472.456459679,1428398.36777335,2,11271.00000,10945.00000,12021.00000,13786.00000,17620.00000,20932.00000,17159.00000,5167.00000
790752.079435387,1428347.18285432,2,11083.00000,10491.00000,10383.00000,10553.00000,11670.00000,11206.00000,10434.00000,5162.00000
774424.090265346,1428462.34892213,2,11208.00000,10650.00000,10500.00000,10480.00000,13254.00000,13196.00000,11984.00000,5299.00000
776445.894566965,1426862.8202025,2,11285.00000,10729.00000,10379.00000,10527.00000,12794.00000,13349.00000,12115.00000,5305.00000
780828.603258768,1429540.43127917,2,10996.00000,10432.00000,9900.00000,9883.00000,10812.00000,10666.00000,10064.00000,5174.00000
778723.623463728,1431063.18262026,2,11335.00000,10804.00000,10313.00000,10334.00000,11229.00000,11353.00000,10516.00000,5206.00000
784936.193010792,1428206.42432699,2,11005.00000,10482.00000,9918.00000,9964.00000,10980.00000,10978.00000,10116.00000,5233.00000
782588.084850368,1425839.12182193,2,11596.00000,11033.00000,10760.00000,10850.00000,12848.00000,11785.00000,10401.00000,5239.00000
782959.175513324,1430855.24388671,2,11218.00000,10679.00000,10296.00000,10442.00000,11316.00000,11449.00000,10638.00000,5206.00000
778007.03459733,1420835.79598691,2,11301.00000,10759.00000,10670.00000,10706.00000,13974.00000,14701.00000,12944.00000,5194.00000
795640.239202595,1435289.13749754,2,11776.00000,11535.00000,11707.00000,12333.00000,13988.00000,13418.00000,12162.00000,5162.00000
771768.872590752,1444425.6455441,2,11162.00000,10634.00000,10220.00000,10298.00000,12137.00000,11722.00000,10532.00000,5187.00000
774225.748704112,1443510.71511647,2,11716.00000,11183.00000,10752.00000,10928.00000,13196.00000,12639.00000,11423.00000,5199.00000
772091.977392118,1440007.74722047,2,11527.00000,11024.00000,10663.00000,10629.00000,12752.00000,12856.00000,11814.00000,5209.00000
771263.421515349,1440666.75305296,2,11313.00000,10858.00000,10027.00000,9585.00000,11987.00000,13801.00000,13916.00000,5207.00000
773768.283490296,1440932.27482042,2,11413.00000,11067.00000,10301.00000,10178.00000,13224.00000,14619.00000,13869.00000,5217.00000
772850.154005226,1441328.95794289,2,11267.00000,10721.00000,9971.00000,9769.00000,12727.00000,12753.00000,11416.00000,5221.00000
772760.580396926,1440743.5304315,2,11429.00000,10874.00000,10220.00000,10221.00000,12491.00000,12654.00000,11771.00000,5223.00000
774283.331738021,1442335.8612719,2,11153.00000,10653.00000,9882.00000,9732.00000,11444.00000,11813.00000,10907.00000,5151.00000
773362.003195509,1442499.0132013,2,11047.00000,10431.00000,9550.00000,9020.00000,12598.00000,12627.00000,11525.00000,5153.00000
776002.025347268,1432857.05407933,2,11590.00000,10937.00000,9800.00000,9315.00000,12051.00000,13256.00000,12770.00000,5258.00000
776211.56360954,1433334.51340215,2,11655.00000,11089.00000,10569.00000,10370.00000,13125.00000,12087.00000,11490.00000,5215.00000
773952.229293055,1431538.24264999,2,10949.00000,10268.00000,9570.00000,9128.00000,11407.00000,12549.00000,12251.00000,5239.00000
781578.782228278,1433534.4544921,2,11485.00000,10956.00000,10034.00000,9843.00000,11443.00000,11967.00000,12199.00000,5248.00000
781842.704467018,1433403.29313709,2,10949.00000,10428.00000,9516.00000,9188.00000,13137.00000,12353.00000,10096.00000,5226.00000
780374.337102393,1434209.45561179,2,11298.00000,10758.00000,9907.00000,9664.00000,11418.00000,11370.00000,10241.00000,5277.00000
778035.826114287,1438160.29154929,2,11471.00000,10974.00000,10116.00000,9947.00000,11953.00000,13062.00000,11902.00000,5262.00000
778893.173508009,1437645.24330156,2,11807.00000,11565.00000,11281.00000,12006.00000,13578.00000,14900.00000,12138.00000,5240.00000
796440.003562414,1439827.00047515,2,11233.00000,10933.00000,11059.00000,11742.00000,13527.00000,15337.00000,12757.00000,5115.00000
787284.301171219,1450761.37880258,2,11866.00000,11514.00000,11671.00000,10834.00000,10990.00000,9919.00000,9632.00000,5171.00000
788359.184470816,1450831.75806624,2,11157.00000,10748.00000,10436.00000,10254.00000,10774.00000,10306.00000,9560.00000,5168.00000
