X,Y,Class,2015-04-_1,2015-04-_2,2015-04-_3,2015-04-_4,2015-04-_5,2015-04-_6,2015-04-_7,2015-04-_8
767854.825813798,1441894.39134527,1,11129.00000,10468.00000,10902.00000,12251.00000,17727.00000,22348.00000,17359.00000,5157.00000
763393.740214733,1440594.77426056,1,11679.00000,11308.00000,12404.00000,14595.00000,20449.00000,25702.00000,20650.00000,5120.00000
763380.943984976,1442667.76348121,1,10605.00000,9838.00000,9853.00000,12193.00000,15751.00000,22324.00000,17327.00000,5142.00000
766580.001424249,1439558.27965024,1,10984.00000,10302.00000,10637.00000,11183.00000,17893.00000,19576.00000,15519.00000,5137.00000
760341.839417668,1437530.07723374,1,11895.00000,11438.00000,12152.00000,14612.00000,18357.00000,23628.00000,19889.00000,5129.00000
757577.853790137,1437146.19034103,1,11245.00000,10574.00000,11089.00000,12545.00000,17340.00000,21634.00000,16482.00000,5181.00000
759055.818327081,1451356.40348627,1,11003.00000,10341.00000,10836.00000,13866.00000,17633.00000,22874.00000,17900.00000,5185.00000
759650.843010787,1451554.74504751,1,11484.00000,11066.00000,12036.00000,14196.00000,20621.00000,24218.00000,19607.00000,5220.00000
760578.569668176,1451234.83930358,1,10984.00000,10338.00000,10770.00000,12426.00000,17173.00000,21266.00000,17044.00000,5202.00000
757417.900918173,1450217.53903789,1,11839.00000,11291.00000,11749.00000,14266.00000,17439.00000,21867.00000,17171.00000,5195.00000
767738.060217263,1451260.43176309,1,11012.00000,10396.00000,10679.00000,12585.00000,17048.00000,22758.00000,18118.00000,5179.00000
764986.870819491,1451311.61668212,1,10760.00000,10066.00000,10421.00000,12994.00000,16944.00000,22315.00000,17111.00000,5159.00000
771986.408496617,1451951.42816998,1,11007.00000,10412.00000,10979.00000,13612.00000,18214.00000,23652.00000,18770.00000,5163.00000
791667.009863016,1413940.22767655,1,11267.00000,10695.00000,11181.00000,12491.00000,17475.00000,20848.00000,16115.00000,5110.00000
759676.4354703,1423025.55080409,1,11373.00000,10769.00000,11107.00000,12782.00000,17690.00000,21246.00000,17160.00000,5109.00000
763748.835590493,1421880.28824082,1,11539.00000,10964.00000,11462.00000,13267.00000,17836.00000,24247.00000,18771.00000,5131.00000
763281.773204361,1420946.16346856,1,11463.00000,10936.00000,11573.00000,13664.00000,18891.00000,23862.00000,18324.00000,5138.00000
765745.047432598,1422686.45071552,1,11219.00000,10594.00000,10985.00000,12963.00000,17440.00000,23632.00000,19237.00000,5135.00000
776909.757895656,1416953.73978435,1,10896.00000,10271.00000,10387.00000,11828.00000,15766.00000,21708.00000,17580.00000,5101.00000
776986.535274199,1415699.70926815,1,10961.00000,10371.00000,10709.00000,12558.00000,17166.00000,22800.00000,18209.00000,5101.00000
776141.984110231,1413268.42561431,1,10724.00000,10008.00000,10121.00000,11782.00000,15951.00000,20549.00000,16782.00000,5100.00000
767670.88001104,1415392.59975398,1,11210.00000,10658.00000,11102.00000,13263.00000,17635.00000,23325.00000,18446.00000,5119.00000
769692.68431266,1423403.03958192,1,10813.00000,10057.00000,10073.00000,11564.00000,16244.00000,20993.00000,16461.00000,5123.00000
775396.603726881,1412068.77907458,1,11073.00000,10509.00000,11014.00000,13622.00000,17427.00000,23452.00000,20015.00000,5122.00000
769657.494680827,1417580.75504245,1,11005.00000,10346.00000,10435.00000,12493.00000,16377.00000,21993.00000,18586.00000,5107.00000
803247.597793179,1427081.95563708,1,11245.00000,10707.00000,11226.00000,12520.00000,18335.00000,21297.00000,15800.00000,5103.00000
800278.872489535,1421093.32011077,1,10989.00000,10446.00000,10876.00000,13310.00000,17998.00000,21695.00000,16855.00000,5090.00000
798576.973931842,1421054.93142149,1,10864.00000,10241.00000,10807.00000,13265.00000,17405.00000,21051.00000,16992.00000,5100.00000
799664.653461196,1424317.97000955,1,10909.00000,10295.00000,10866.00000,13438.00000,17576.00000,21681.00000,17731.00000,5146.00000
798205.883268888,1423294.27162898,1,10887.00000,10277.00000,10743.00000,12350.00000,18145.00000,20315.00000,15475.00000,5126.00000
798359.438025972,1422692.8488304,1,10981.00000,10392.00000,10524.00000,11484.00000,17056.00000,19320.00000,14576.00000,5100.00000
800969.868896419,1422846.40358749,1,11399.00000,10883.00000,11865.00000,14533.00000,18516.00000,22095.00000,18293.00000,5082.00000
794891.659761801,1425021.76264619,1,11004.00000,10385.00000,11153.00000,13351.00000,18979.00000,22116.00000,17428.00000,5116.00000
810122.372230175,1430751.27451993,1,10879.00000,10288.00000,11114.00000,13474.00000,17470.00000,21252.00000,16670.00000,5111.00000
812195.361450824,1431723.78798147,1,11113.00000,10662.00000,11230.00000,13539.00000,18575.00000,23400.00000,17884.00000,5114.00000
809751.281567219,1428179.23233875,1,10830.00000,10229.00000,10753.00000,12344.00000,18302.00000,19862.00000,14907.00000,5147.00000
804831.131225619,1436669.53078258,1,11075.00000,10513.00000,11350.00000,13445.00000,18873.00000,22602.00000,18029.00000,5128.00000
774339.315243202,1440014.14533534,1,11848.00000,11321.00000,11700.00000,12872.00000,15694.00000,17153.00000,15297.00000,5155.00000
780275.166321771,1442822.91776702,1,11313.00000,10777.00000,11665.00000,13605.00000,19895.00000,22609.00000,17695.00000,5160.00000
779046.728265091,1447122.4509654,1,11329.00000,10838.00000,11650.00000,14259.00000,18511.00000,23620.00000,18903.00000,5159.00000
775866.865170455,1446943.3037488,1,11447.00000,10842.00000,11577.00000,15167.00000,18127.00000,25324.00000,17978.00000,5156.00000
791139.165385537,1455107.29833382,1,11263.00000,10680.00000,11070.00000,12468.00000,17041.00000,20780.00000,16077.00000,5192.00000
794306.232250415,1455286.44555042,1,10833.00000,10198.00000,10126.00000,10434.00000,16952.00000,18012.00000,13415.00000,5149.00000
800985.864183614,1427403.46090973,1,10819.00000,10147.00000,10411.00000,12433.00000,16344.00000,21083.00000,16713.00000,5090.00000
797019.032958918,1427646.58927511,1,11008.00000,10387.00000,10785.00000,13234.00000,16785.00000,22395.00000,17780.00000,5123.00000
795205.167390852,1452656.82033534,1,12106.00000,11804.00000,13135.00000,16589.00000,21155.00000,26469.00000,21617.00000,5142.00000
804428.049988271,1442829.3158819,1,11039.00000,10513.00000,11407.00000,14364.00000,18590.00000,23805.00000,17708.00000,5097.00000
780319.953125921,1455395.21350336,1,11195.00000,10578.00000,11228.00000,12663.00000,18669.00000,21217.00000,16853.00000,5196.00000
